period,timestamp,minute,second,team_goals_before,opp_goals_before,team_id,team_name,player_id,player_name,shot_statsbomb_xg,shot_end_location,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_freeze_frame,score_diff,scored,direction,pressure
1,00:02:15.331,2,15,0,0,746,Manchester City WFC,4654,Nikita Parris,0.7835,"[120.0, 36.4, 1.3]",40,Right Foot,88,Penalty,97,Goal,93,Normal,,0,1,Left,Medium
2,00:25:01.767,70,1,1,2,7287,Mumbai City,8038,Igor Angulo Albóniga,0.7835,"[118.9, 40.6, 0.3]",38,Left Foot,88,Penalty,100,Saved,93,Normal,,-1,0,Centre,High
2,00:40:11.965,85,11,1,2,7287,Mumbai City,192018,Diego Maurício Machado de Brito,0.7835,"[120.0, 40.1, 1.3]",40,Right Foot,88,Penalty,97,Goal,93,Normal,,-1,1,Centre,Extreme
2,00:48:05.132,93,5,2,2,2021,Jamshedpur,13322,Greg Stewart,0.7835,"[120.0, 43.4, 0.3]",38,Left Foot,88,Penalty,97,Goal,93,Normal,,0,1,Right,Extreme
2,00:17:11.861,62,11,0,3,1041,Sporting Gijón,6581,Jonathan Rodríguez Menéndez,0.7835,"[119.0, 37.6, 0.9]",38,Left Foot,88,Penalty,100,Saved,93,Normal,,-3,0,Left,Low
1,00:27:13.194,27,13,0,0,22,Leicester City,10960,Jamie Vardy,0.7835,"[120.0, 38.2, 1.3]",40,Right Foot,88,Penalty,97,Goal,93,Normal,,0,1,Left,Medium
2,00:28:18.120,73,18,1,1,175,Hoffenheim,8404,Eugen Polanski,0.7835,"[120.0, 44.0, 0.8]",40,Right Foot,88,Penalty,99,Post,93,Normal,"[{'location': [119.4, 40.5], 'player': {'id': 5570, 'name': 'Manuel Neuer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",0,0,Right,High
2,00:12:09.720,57,9,0,0,771,France,5487,Antoine Griezmann,0.7835,"[119.0, 43.8, 1.4]",38,Left Foot,88,Penalty,97,Goal,93,Normal,,0,1,Right,High
2,00:16:16.680,61,16,0,1,792,Australia,5489,Mile Jedinak,0.7835,"[120.0, 42.0, 0.2]",40,Right Foot,88,Penalty,97,Goal,93,Normal,,-1,1,Right,High
2,00:34:02.232,79,2,0,0,217,Barcelona,25879,Ronaldo de Assis Moreira,0.7835,"[120.0, 43.3, 0.3]",40,Right Foot,88,Penalty,97,Goal,93,Normal,"[{'location': [119.6, 40.3], 'player': {'id': 25917, 'name': 'César Sánchez Domínguez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",0,1,Right,Extreme
1,00:37:25.498,37,25,1,0,243,AC Milan,5661,M''Baye Babacar Niang,0.7835,"[120.0, 39.1, 2.4]",40,Right Foot,88,Penalty,97,Goal,93,Normal,,1,1,Centre,Medium
